brand,model,year,engine,power,top_speed
Ferrari,LaFerrari,2013,6.3L V12,950,217
Lamborghini,Aventador,2011,6.5L V12,700,217
Bugatti,Chiron,2016,8.0L W16,1500,261
McLaren,P1,2013,3.8L V8,903,217
Porsche,911 GT2 RS,2018,3.8L Flat-6,700,211
